Metric,2021A,2022A,2023A,2024A,2025A,Source/Type,Notes
Revenue,365817,394328,383285,391035,416161,10-K actual,Net sales
COGS,212981,223546,214137,210352,220960,10-K actual,Total cost of sales
Gross Profit,,,,,,Formula,Revenue - COGS
Operating Expenses,43887,51345,54847,57467,62151,10-K actual,R&D + SG&A
Depreciation & Amortization,11284,11104,11519,11445,11698,10-K actual,Used to estimate EBITDA as EBIT + D&A
EBITDA,,,,,,Formula,EBIT + D&A; not a GAAP line item
EBIT,108949,119437,114301,123216,133050,10-K actual,Operating income
Interest Expense / Cash Interest Proxy,2687,2865,3933,3000,2600,10-K/proxy,Cash paid for interest where available; FY2024-FY2025 use disclosed next-12-month interest/payments as practical proxy
Net Income,94680,99803,96995,93736,112010,10-K actual,Net income
Cash,34940,23646,29965,29943,35934,10-K actual,Cash and cash equivalents
Current Assets,134836,135405,143566,152987,147957,10-K actual,Total current assets
Inventory,6580,4946,6331,7286,5718,10-K actual,Used for quick ratio
Current Liabilities,125481,153982,145308,176392,165631,10-K actual,Total current liabilities
Commercial Paper,6000,9982,5985,9967,7979,10-K actual,Short-term debt
Current Term Debt,9613,11128,9822,10912,12350,10-K actual,Current portion of term debt
Long-Term Debt,109106,98959,95281,85750,78328,10-K actual,Non-current portion of term debt
Total Debt,,,,,,Formula,Commercial paper + current term debt + long-term debt
Total Equity,63090,50672,62146,56950,73733,10-K actual,Total shareholders' equity
Total Assets,351002,352755,352583,364980,359241,10-K actual,Total assets
Operating Cash Flow,104038,122151,110543,118254,111482,10-K actual,Cash generated by operating activities
Capital Expenditure,-11085,-10708,-10959,-9447,-12715,10-K actual,"Payments for acquisition of property, plant and equipment"
Free Cash Flow,,,,,,Formula,Operating cash flow + capex
